file,name,description
files/Cases\Case_CA17027.htm,KSS01401,Struttura di controllo prossima frase {Numero frase}
files/Cases\Case_CA17028.htm,KSS01323,{Percorso} Nome modulo inammissibile
files/Cases\Case_CA17031.htm,KSS01426,Nidificazione delle variabili troppo profonda
files/Cases\Case_CA17032.htm,KSS01508,Nessun modulo disponibile
files/Cases\Case_CA17033.htm,KSS01007,Il canale {Nome del canale} non può essere aperto
files/Cases\Case_CA17034.htm,KSS01127,Calibrazione eseguita {Numero di asse}
files/Cases\Case_CA17037.htm,KSS01422,{Variabile $} valore non valido
files/Cases\Case_CA17045.htm,KSS01422,{Variabile $} valore non valido
files/Cases\Case_CA17052.htm,KSS01422,{Variabile $} valore non valido
files/Cases\Case_CA17053.htm,KSS01444,Indice di campo non permesso: {Variabili} {ModuleLine}
files/Cases\Case_CA17054.htm,KSS01444,Indice di campo non permesso: {Variabili} {ModuleLine}
files/Cases\Case_CA17066.htm,KSS02013,Unused
files/Cases\Case_CA17067.htm,KSS02014,Unused
files/Cases\Case_CA17071.htm,KSS01422,{Variabile $} valore non valido
files/Cases\Case_CA17073.htm,KSS01422,{Variabile $} valore non valido
files/Cases\Case_CA17260.htm,KSS02710,{Nome modulo} troppi sottoprogrammi locali
files/Cases\Case_CA17296.htm,KSS03329,"Assegnazione a $MOTION_MODE non permessa, Motion Mode {Motion Mode specifico} non installata {ModuleLine}"
files/Cases\Case_CA17298.htm,KSS03329,"Assegnazione a $MOTION_MODE non permessa, Motion Mode {Motion Mode specifico} non installata {ModuleLine}"
files/Cases\Case_CA17301.htm,KSS15068,Codice di attivazione della configurazione di sicurezza non corretto.
files/Cases\Case_CA17302.htm,KSS15068,Codice di attivazione della configurazione di sicurezza non corretto.
files/Cases\Case_CA17333.htm,KSS13012,<{ID bus}> Errore di inizializzazione dello stack ECat [{Causa} {Causa 2}]
files/Cases\Case_CA17471.htm,KSS03230,"L’arresto condizionato in {Nome modulo@n.riga, dov’è programmata la condizione di arresto} per movimento in {Nome modulo@numero riga del movimento attribuito [:nome punto]} si attiva in ritardo"
files/Cases\Case_CA17473.htm,KSS03217,La distanza di frenata per CONST_VEL END in movimento in {Nome modulo@numero riga[:nome punto] del segmento limitante} è troppo corta. Invece di $VEL.CP = {Velocità programmata}m/s vengono raggiunti solo {Velocità raggiunta}m/s.
files/Cases\Case_CA17474.htm,KSS03216,La via di accelerazione per CONST_VEL START in movimento in {Nome modulo@numero riga[:nome punto] del segmento limitante} è troppo corta. Invece di $VEL.CP = {Velocità programmata}m/s vengono raggiunti solo {Velocità raggiunta}m/s.
files/Cases\Case_CA17475.htm,KSS01123,Approssimazione non possibile in {Nome modulo@numero riga[:nome punto]} {Causa - opzionale}
files/Cases\Case_CA17476.htm,KSS01442,Sequenza delle istruzioni non approssimabile {Nome modulo@numero riga dell'istruzione} {+ (messaggio ridondante)}
files/Cases\Case_CA17479.htm,KSS03171,Velocità 0m/s nel punto {Nome modulo@numero riga[:nome punto] del movimento} (punti di inizio e di fine identici)
files/Cases\Case_CA17480.htm,KSS03217,La distanza di frenata per CONST_VEL END in movimento in {Nome modulo@numero riga[:nome punto] del segmento limitante} è troppo corta. Invece di $VEL.CP = {Velocità programmata}m/s vengono raggiunti solo {Velocità raggiunta}m/s.
files/Cases\Case_CA17481.htm,KSS03214,$VEL.CP = {Velocità programmata}m/s nel settore CONST_VEL non realizzabile per riduzione di velocità a {Velocità raggiunta}m/s in movimento in {Nome modulo@numero riga[:nome punto] del segmento limitante}.
files/Cases\Case_CA17482.htm,KSS03215,CONST_VEL non realizzabile per riduzione di velocità a 0m/s in movimento in {Nome modulo@numero riga[:nome punto] del segmento causante}.
files/Cases\Case_CA17483.htm,KSS03216,La via di accelerazione per CONST_VEL START in movimento in {Nome modulo@numero riga[:nome punto] del segmento limitante} è troppo corta. Invece di $VEL.CP = {Velocità programmata}m/s vengono raggiunti solo {Velocità raggiunta}m/s.
files/Cases\Case_CA17484.htm,KSS01123,Approssimazione non possibile in {Nome modulo@numero riga[:nome punto]} {Causa - opzionale}
files/Cases\Case_CA17485.htm,KSS01123,Approssimazione non possibile in {Nome modulo@numero riga[:nome punto]} {Causa - opzionale}
files/Cases\Case_CA17486.htm,KSS01123,Approssimazione non possibile in {Nome modulo@numero riga[:nome punto]} {Causa - opzionale}
files/Cases\Case_CA17517.htm,KSS00159,Errore bus IO KRC attivo per istanza bus: {Istanza bus}{Istanza bus}{Istanza bus}
files/Cases\Case_CA17796.htm,KSS26051,Errore: sovraccarico circuito zavorra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17797.htm,KSS26123,Avvertenza: sovraccarico circuito zavorra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17800.htm,KSS26129,Tacca di calibrazione sporca o danneggiata
files/Cases\Case_CA17802.htm,KSS26104,Avvertenza: sovraccarico errore IxT ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17803.htm,KSS26036,Errore: tensione del circuito intermedio troppo bassa ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17804.htm,KSS26107,Avvertenza: tensione del circuito intermedio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17805.htm,KSS26111,Avvertenza: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17806.htm,KSS26039,Errore: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17807.htm,KSS26108,Avvertenza: tensione del circuito intermedio troppo bassa ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17808.htm,KSS26035,Errore: tensione del circuito intermedio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17816.htm,KSS26032,Errore: sovraccarico errore IxT ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17817.htm,KSS26107,Avvertenza: tensione del circuito intermedio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17818.htm,KSS26111,Avvertenza: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17819.htm,KSS26039,Errore: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17820.htm,KSS26123,Avvertenza: sovraccarico circuito zavorra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17821.htm,KSS26108,Avvertenza: tensione del circuito intermedio troppo bassa ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17822.htm,KSS26035,Errore: tensione del circuito intermedio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17827.htm,KSS26129,Tacca di calibrazione sporca o danneggiata
files/Cases\Case_CA17828.htm,KSS26194,Calibrazione non consentita nello stato disaccoppiato {Azionamento}
files/Cases\Case_CA17829.htm,KSS26195,Disaccoppiamento impossibile ({Azionamento}).
files/Cases\Case_CA17832.htm,KSS26217,Conf.: Tempo frenatura dinamica ({Azionamento}).
files/Cases\Case_CA17833.htm,KSS26218,Tempo frenatura dinamica {Tempo frenatura dinamica} sec. ({Azionamento}).
files/Cases\Case_CA17834.htm,KSS26217,Conf.: Tempo frenatura dinamica ({Azionamento}).
files/Cases\Case_CA17835.htm,KSS26218,Tempo frenatura dinamica {Tempo frenatura dinamica} sec. ({Azionamento}).
files/Cases\Case_CA17854.htm,KSS26007,Velocità reale permessa ecceduta ({Azionamento}).
files/Cases\Case_CA17855.htm,KSS26112,Avvertenza: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17856.htm,KSS26104,Avvertenza: sovraccarico errore IxT ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17857.htm,KSS26032,Errore: sovraccarico errore IxT ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17858.htm,KSS26040,Errore: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17862.htm,KSS26197,Non disponibile motore {Motore} per accoppiamento ad azionamento {Azionamento}.
files/Cases\Case_CA17868.htm,KSS37026,"Elemento di catalogo per la regolazione non aggiornato (nexxtCtrl: {Azionamento}, {testarg_2}, {testarg_3})"
files/Cases\Case_CA17869.htm,KSS26067,"CF: Configurazione non valida ({Azionamento}) ({Tipo di errore e di parametro}, indice={Indice parametri})."
files/Cases\Case_CA17874.htm,KSS26252,Inizializzazione dell'azionamento errata ({Numero apparecchio}).
files/Cases\Case_CA17892.htm,KSS26157,Conf.: Errore: carica del circuito intermedio fallita ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17899.htm,KSS26091,Superato limite max. variabile ritardo di posizionamento ({Azionamento}).
files/Cases\Case_CA17900.htm,KSS26091,Superato limite max. variabile ritardo di posizionamento ({Azionamento}).
files/Cases\Case_CA17903.htm,KSS26173,Massima forza permessa ecceduta ({Azionamento}).
files/Cases\Case_CA17906.htm,KSS26034,Errore: sovracorrente ({Tipo di apparecchio}) ({Numero}) ({Codice errore}).
files/Cases\Case_CA17907.htm,KSS26132,Errore: errore cumulativo freno ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17908.htm,KSS26034,Errore: sovracorrente ({Tipo di apparecchio}) ({Numero}) ({Codice errore}).
files/Cases\Case_CA17909.htm,KSS26033,Errore: dispersione a terra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17910.htm,KSS26105,Avviso: dispersione a terra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17911.htm,KSS26106,Avvertenza: sovracorrente ({Tipo di apparecchio}) ({Numero}) ({Codice errore}).
files/Cases\Case_CA17917.htm,KSS26113,Avvertenza: mancanza fase motore ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17918.htm,KSS26041,Errore: mancanza fase motore ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17919.htm,KSS26133,Avvertenza: errore cumulativo freno ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17920.htm,KSS26132,Errore: errore cumulativo freno ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17921.htm,KSS26113,Avvertenza: mancanza fase motore ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17922.htm,KSS26041,Errore: mancanza fase motore ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17923.htm,KSS26133,Avvertenza: errore cumulativo freno ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17924.htm,KSS26132,Errore: errore cumulativo freno ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17929.htm,KSS26104,Avvertenza: sovraccarico errore IxT ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17930.htm,KSS26032,Errore: sovraccarico errore IxT ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17937.htm,KSS26122,Avvertenza: errore nel reostato di frenatura ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17938.htm,KSS26133,Avvertenza: errore cumulativo freno ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17939.htm,KSS26132,Errore: errore cumulativo freno ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17940.htm,KSS26050,Errore: errore nel reostato di frenatura ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17941.htm,KSS26036,Errore: tensione del circuito intermedio troppo bassa ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17946.htm,KSS26033,Errore: dispersione a terra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17947.htm,KSS26230,Errore: Cortocircuito tiristore di carico ({Tipo di apparecchio}) ({Numero})
files/Cases\Case_CA17948.htm,KSS26105,Avviso: dispersione a terra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17949.htm,KSS26106,Avvertenza: sovracorrente ({Tipo di apparecchio}) ({Numero}) ({Codice errore}).
files/Cases\Case_CA17950.htm,KSS26230,Errore: Cortocircuito tiristore di carico ({Tipo di apparecchio}) ({Numero})
files/Cases\Case_CA17951.htm,KSS26105,Avviso: dispersione a terra ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17952.htm,KSS26034,Errore: sovracorrente ({Tipo di apparecchio}) ({Numero}) ({Codice errore}).
files/Cases\Case_CA17953.htm,KSS26106,Avvertenza: sovracorrente ({Tipo di apparecchio}) ({Numero}) ({Codice errore}).
files/Cases\Case_CA17954.htm,KSS26230,Errore: Cortocircuito tiristore di carico ({Tipo di apparecchio}) ({Numero})
files/Cases\Case_CA17955.htm,KSS26037,Errore: tensione di alimentazione logica eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17956.htm,KSS26119,Avvertenza: guasto alla rete di alimentazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17957.htm,KSS26047,Errore: guasto alla rete di alimentazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17958.htm,KSS26037,Errore: tensione di alimentazione logica eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17959.htm,KSS26119,Avvertenza: guasto alla rete di alimentazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17960.htm,KSS26047,Errore: guasto alla rete di alimentazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17965.htm,KSS26042,Errore: errore di comunicazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA17966.htm,KSS26114,Avvertenza: errore di comunicazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18024.htm,KSS26112,Avvertenza: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18025.htm,KSS26040,Errore: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18026.htm,KSS26111,Avvertenza: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18027.htm,KSS26039,Errore: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18047.htm,KSS26112,Avvertenza: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18048.htm,KSS26040,Errore: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18049.htm,KSS26111,Avvertenza: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18050.htm,KSS26039,Errore: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18051.htm,KSS26112,Avvertenza: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18052.htm,KSS26040,Errore: temperatura del raffreddatore eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18053.htm,KSS26111,Avvertenza: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18083.htm,KSS26119,Avvertenza: guasto alla rete di alimentazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18084.htm,KSS26047,Errore: guasto alla rete di alimentazione ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18085.htm,KSS26046,Errore: mancanza fasi di rete ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18086.htm,KSS26118,Avvertenza: mancanza fasi di rete ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18087.htm,KSS26046,Errore: mancanza fasi di rete ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18088.htm,KSS26118,Avvertenza: mancanza fasi di rete ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18092.htm,KSS26036,Errore: tensione del circuito intermedio troppo bassa ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18100.htm,KSS26252,Inizializzazione dell'azionamento errata ({Numero apparecchio}).
files/Cases\Case_CA18105.htm,KSS25005,EDS sull'apparecchio {Denominazione gruppo} è vuoto. Mancano dati di calibrazione (errore {Numero di errore interno}).
files/Cases\Case_CA18107.htm,KSS26111,Avvertenza: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18108.htm,KSS26039,Errore: temperatura dell'apparecchio eccessiva ({Tipo di apparecchio}) ({Numero}).
files/Cases\Case_CA18245.htm,KSS01388,{Nome} Variabile protetta in scrittura nel modulo {Nome file} frase {Numero frase}
files/Cases\Case_CA18250.htm,KSS01133,Coppia massima asse {Numero di asse} superata
files/Cases\Case_CA18282.htm,KSS01153,Deviazione al punto iniziale di un movimento PTP
files/Cases\Case_CA18400.htm,KSS01205,Conf. sorveglianza ciclo di interpolazione {Numero di asse} {Task}
files/Cases\Case_CA18512.htm,KSS13073,Il driver IO EIP non riesce a rilevare l'indirizzo IP del KLI
files/Cases\Case_CA18547.htm,KSS13041,Errore di lettura dell'indirizzo MAC dal KLI
files/Cases\Case_CA18549.htm,KSS14011,"Errore di boot nel file {Nome del file}, riga {Numero riga}: {Testo dell'errore}"
files/Cases\Case_CA18553.htm,KSS13073,Il driver IO EIP non riesce a rilevare l'indirizzo IP del KLI
files/Cases\Case_CA18554.htm,KSS13072,Il driver IO EIP non riesce a rilevare l'indirizzo MAC del KLI
files/Cases\Case_CA18555.htm,KSS13074,Il driver IO EIP non riesce a rilevare la maschera di sottorete del KLI
files/Cases\Case_CA18556.htm,KSS13064,Lo stack EthernetIP non può essere impostato nello stato offline
files/Cases\Case_CA18557.htm,KSS13066,Lo stack EthernetIP non può essere impostato nello stato online
files/Cases\Case_CA18558.htm,KSS13067,Lo stack EthernetIP non può essere impostato nello stato in corso
files/Cases\Case_CA18643.htm,KSS15149,"CIPS: NodeID errato (indirizzo IP), NodeID parametrizzato {NodeID parametrizzato} != NodeID ricevuto da PLC {NodeID ricevuto}."
files/Cases\Case_CA4081.htm,KSS01457,Punto iniziale e punto intermedio uguali
files/Cases\Case_CA4116.htm,SubmitControl 00010,"Interpreter {Modulo submit} non disponibile. ""Seleziona/Avvia"" non possibile."
files/Cases\Case_CA4134.htm,SubmitControl 00010,"Interpreter {Modulo submit} non disponibile. ""Seleziona/Avvia"" non possibile."
files/Cases\Case_CA4135.htm,KSS13018,<{ID bus}> Errore di inizializzazione dello stack ECat. Apparecchio: {Apparecchio contenente errori} [{Informazioni addizionali}]
files/Cases\Case_CA4170.htm,KSS14000,Tensione bus di comando disattivata
files/Cases\Case_CA4182.htm,KSS14001,Conf. disattivazione tensione bus di comando
files/Cases\Case_CA4183.htm,KSS00148,Area di lavoro dell'asse n. {Numero area di lavoro} violata
files/Cases\Case_CA4216.htm,KSS00474,"{Nome iosys.ini} Sezione[{Nome sezione}] riga {Riga errata}, intervallo indirizzi errato"
files/Cases\Case_CA4239.htm,KSS00114,Area di lavoro n. {Numero area di lavoro} violata.
files/Cases\Case_CA4240.htm,KSS00127,{Numero di asse} asse esterno asincrono
files/Cases\Case_CA4242.htm,KSS01342,Errore campo di lavoro
files/Cases\Case_CA4243.htm,KSS01362,STOP causato da cambio modalità operativa
files/Cases\Case_CA4244.htm,KSS01342,Errore campo di lavoro
files/Cases\Case_CA4245.htm,KSS01447,Punto non raggiungibile! Finecorsa software {Direzione di spostamento}{Numero di asse}
files/Cases\Case_CA4246.htm,KSS01447,Punto non raggiungibile! Finecorsa software {Direzione di spostamento}{Numero di asse}
files/Cases\Case_CA4247.htm,KSS01342,Errore campo di lavoro
files/Cases\Case_CA4868.htm,KSS00011,Programma troppo complesso stack pieno
files/Cases\Case_CA4869.htm,KSS00020,ARRESTO D'EMERGENZA esterno
files/Cases\Case_CA4871.htm,KSS00207,Protezione operatore/grata di protezione aperte
files/Cases\Case_CA4872.htm,KSS00207,Protezione operatore/grata di protezione aperte
files/Cases\Case_CA4873.htm,KSS00304,Messa in servizio
files/Cases\Case_CA4874.htm,KSS01008,Controller avviato a freddo
files/Cases\Case_CA4875.htm,KSS01200,Conf. ARRESTO D'EMERGENZA
files/Cases\Case_CA4877.htm,KSS01212,Conf. protezione operatore/grata di protezione chiuse
files/Cases\Case_CA4878.htm,KSS01349,Robot calibrato
files/Cases\Case_CA4879.htm,KSS01356,Premere tasto START
files/Cases\Case_CA4880.htm,KSS01376,Comandi attivi bloccati
files/Cases\Case_CA4881.htm,KSS03129,Protezione operatore confermata
files/Cases\Case_CA4885.htm,KSS27009,Efficacia freno{Freno n.}{Asse n.} OK
files/Cases\Case_CA4886.htm,KSS27010,Impossibile verificare efficacia del freno{Freno}{Asse}
files/Cases\Case_CA4887.htm,KSS27011,Test freno{Freno}{Asse} eseguito non completamente
files/Cases\Case_CA4888.htm,KSS27012,Test freno riuscito
files/Cases\Case_CA4889.htm,KSS27017,L'attrito ostacola la verifica del freno{Freno}{Asse}
files/Cases\Case_CA4891.htm,KSS27019,"Piena coppia del freno{Freno}{Asse} non verificabile, raggiunta coppia di tenuta motore"
files/Cases\Case_CA4895.htm,KSS27023,Riduzione automatica del fattore di sicurezza per il freno{Freno}{Asse}
files/Cases\Case_CA4906.htm,KSS00068,Manca consenso alla partenza
files/Cases\Case_CA4935.htm,KSS00112,$TOOL non valido: sorveglianza dell'area di lavoro non possibile
files/Cases\Case_CA4937.htm,KSS01350,Arrivato al SAK
files/Cases\Case_CA5819.htm,KSS01355,Azionare pulsante uomo morto
files/Cases\Case_CA5962.htm,KSS01358,Selezione necessaria
files/Cases\Case_CA5977.htm,KSS00255,{$Variabile} Valore non valido
files/Cases\Case_CA6384.htm,KSS01524,Numero massimo di triggers attivi
files/Cases\Case_CA6483.htm,KSS01006,Capacità memoria user esaurita
files/Cases\Case_CA6522.htm,KSS00203,Abilitazione generale del movimento
files/Cases\Case_CA6538.htm,KSS00313,"Errore interno (file: {Nome file}, riga: {Numero riga}, valore: {Valore di ritorno})"
files/Cases\Case_CA6600.htm,KSS26128,Nessun collegamento con EMD
files/Cases\Case_CA6660.htm,KSS15016,Conferma: Arresto per violazione del monitoraggio in stato di inattività
files/Cases\Case_CA6666.htm,KSS15050,Stop di riferimento
files/Cases\Case_CA6668.htm,KSS15033,Più di un utensile attivato nel controllo di sicurezza
files/Cases\Case_CA6669.htm,KSS15035,Nessun utensile attivato nel controllo di sicurezza
files/Cases\Case_CA6670.htm,KSS15019,Conferma: superata velocità massima specifica per asse nel modo T1
files/Cases\Case_CA6688.htm,KSS10020,{Nome istanza} Errore di accesso al gruppo di collegamento
files/Cases\Case_CA6689.htm,KSS10020,{Nome istanza} Errore di accesso al gruppo di collegamento
files/Cases\Case_CA6690.htm,KSS10021,{Nome istanza} in attesa di avvio 'esterno' dell'Interbus
files/Cases\Case_CA6691.htm,KSS10029,{Nome istanza} Nessun circuito master o slave attivato
files/Cases\Case_CA6698.htm,KSS10024,{Nome istanza} Slave-ID della scheda ({Slave-ID della scheda}) diverso da quello nel file XML ({Slave-ID nel file XML})
files/Cases\Case_CA6711.htm,KSS00108,Frenata dinamica attiva
files/Cases\Case_CA6718.htm,KSS15052,Conferma: interruttore di riferimento calibrazione non azionato
files/Cases\Case_CA6719.htm,KSS01350,Arrivato al SAK
files/Cases\Case_CA6721.htm,KSS15052,Conferma: interruttore di riferimento calibrazione non azionato
files/Cases\Case_CA6722.htm,KSS15052,Conferma: interruttore di riferimento calibrazione non azionato
files/Cases\Case_CA6723.htm,KSS15052,Conferma: interruttore di riferimento calibrazione non azionato
files/Cases\Case_CA6727.htm,KSS15051,Conferma: posizione di riferimento calibrazione non raggiunta
files/Cases\Case_CA6731.htm,KSS00287,Errore ventola PC
files/Cases\Case_CA6743.htm,KSS15034,Conferma: Più di un utensile attivato nel controllo di sicurezza
files/Cases\Case_CA6744.htm,KSS15036,Conferma: Nessun utensile attivato nel controllo di sicurezza
files/Cases\Case_CA6752.htm,KSS15018,Conferma: superata velocità massima cartesiana nel modo T1
files/Cases\Case_CA6760.htm,KSS01372,Processo attivo
files/Cases\Case_CA6771.htm,KSS10016,{Nome istanza} bit qualità trasmissione attivato.
files/Cases\Case_CA6785.htm,KSS00115,Liberare area di lavoro n. {Numero area di lavoro}.
files/Cases\Case_CA6786.htm,KSS03166,Start a freddo iniziale
files/Cases\Case_CA6802.htm,KSS00147,Liberare area di lavoro dell'asse n. {Numero area di lavoro}
files/Cases\Case_CA6805.htm,KSS15052,Conferma: interruttore di riferimento calibrazione non azionato
files/Cases\Case_CA6808.htm,KSS06503,Errore di configurazione driver I/O {Nome driver}
files/Cases\Case_CA6809.htm,KSS01421,{Nome oggetto} : {Numero errore} Errore analisi
files/Cases\Case_CA6814.htm,KSS01309,Oggetto inesistente
files/Cases\Case_CA6988.htm,KSS27004,Test freni necessario
files/Cases\Case_CA6990.htm,KSS27004,Test freni necessario
files/Cases\Case_CA6992.htm,ConfigMon 00001,Gruppi non disponibili per l'utente corrente
files/Cases\Case_CA6993.htm,ConfigMon 00001,Gruppi non disponibili per l'utente corrente
files/Cases\Case_CA6994.htm,KSS27002,Verifica ciclica per richiesta test freno non rispettata
files/Cases\Case_CA6995.htm,KSS27002,Verifica ciclica per richiesta test freno non rispettata
files/Cases\Case_CA6996.htm,KSS10006,{Nome istanza} Errore apertura file {Nome file}
files/Cases\Case_CA6997.htm,KSS10006,{Nome istanza} Errore apertura file {Nome file}
files/Cases\Case_CA6998.htm,KSS10006,{Nome istanza} Errore apertura file {Nome file}
files/Cases\Case_CA6999.htm,KSS10006,{Nome istanza} Errore apertura file {Nome file}
files/Cases\Case_CA7007.htm,KSS10033,{Nome istanza} Errore di connessione al firmware
files/Cases\Case_CA7008.htm,KSS10033,{Nome istanza} Errore di connessione al firmware
files/Cases\Case_CA7026.htm,KSS01458,Punti intermedio e finale uguali
files/Cases\Case_CA7180.htm,KSS00203,Abilitazione generale del movimento
files/Cases\Case_CA7181.htm,KSS00203,Abilitazione generale del movimento
files/Cases\Case_CA7193.htm,KSS02274,Tipo parametro attuale/formale incompatibile
files/Cases\Case_CA7194.htm,KSS02275,Tipo parametro attuale/formale incompatibile
files/Cases\Case_CA7197.htm,KSS03237,Una misurazione dell'energia è già attiva
files/Cases\Case_CA7198.htm,KSS03238,Impossibile arrestare attualmente la misurazione dell'energia.
files/Cases\Case_CA7199.htm,KSS03238,Impossibile arrestare attualmente la misurazione dell'energia.
files/Cases\Case_CA7200.htm,KSS02125,Componente non appartiene al tipo
files/Cases\Case_CA7204.htm,KSS02078,Attesa nome del segnale predefinito identico
files/Cases\Case_CA7208.htm,KSS10010,{Nome istanza} Errore di bus nel circuito slave
files/Cases\Case_CA7209.htm,KSS10010,{Nome istanza} Errore di bus nel circuito slave
files/Cases\Case_CA7211.htm,KSS10010,{Nome istanza} Errore di bus nel circuito slave
files/Cases\Case_CA7212.htm,KSS10010,{Nome istanza} Errore di bus nel circuito slave
files/Cases\Case_CA7214.htm,KSS03236,Impossibile avviare attualmente la misurazione dell'energia.
files/Cases\Case_CA7216.htm,KSS15012,Errore tasto di consenso
files/Cases\Case_CA7228.htm,KSS10010,{Nome istanza} Errore di bus nel circuito slave
files/Cases\Case_CA7229.htm,KSS10010,{Nome istanza} Errore di bus nel circuito slave
files/Cases\Case_CA7230.htm,KSS10024,{Nome istanza} Slave-ID della scheda ({Slave-ID della scheda}) diverso da quello nel file XML ({Slave-ID nel file XML})
files/Cases\Case_CA7231.htm,KSS10008,{Nome istanza} Restart non viene eseguito perché non sono presenti errori.
files/Cases\Case_CA7244.htm,KSS03070,File mam non disponibile. Errore {Causa dell'errore}
files/Cases\Case_CA7316.htm,KSS00149,Velocità cartesiana ancora limitata in T2
files/Cases\Case_CA7320.htm,KSS15012,Errore tasto di consenso
files/Cases\Case_CA7405.htm,KSS01456,Punto iniziale uguale al punto finale
